"outcome","patient_char","bin","mkt","mean","sd","l_95","u_95"
"ch_dist","ci_scorent","10",9,-0.0275294377331483,8.02227352603225e-05,-0.0276866742942585,-0.0273722011720381
"ch_dist","ci_scorent","25",9,-0.0275294377331483,8.02227352603225e-05,-0.0276866742942585,-0.0273722011720381
"ch_dist","ci_scorent","50",9,-0.0261491680081186,0.000107819304403762,-0.0263604938447499,-0.0259378421714872
"ch_dist","ci_scorent","75",9,-0.0272018189058593,8.34008213620077e-05,-0.0273652845157288,-0.0270383532959898
"ch_dist","ci_scorent","90",9,-0.0269559016828143,9.51877792882509e-05,-0.0271424697302193,-0.0267693336354093
"ch_dist","ci_scorent","100",9,-0.0254200862364095,0.00017024393966636,-0.0257537643581555,-0.0250864081146634
"ch_dist","obgyn_10kwra","10",9,-0.0277916813951598,0.000124902999029417,-0.0280364912732574,-0.0275468715170621
"ch_dist","obgyn_10kwra","25",9,-0.0275515724306264,9.54878170324919e-05,-0.0277387285520101,-0.0273644163092427
"ch_dist","obgyn_10kwra","50",9,-0.0266379659568449,7.99789342203983e-05,-0.0267947246679169,-0.0264812072457729
"ch_dist","obgyn_10kwra","75",9,-0.0279047900934533,7.62559554830665e-05,-0.0280542517662001,-0.0277553284207065
"ch_dist","obgyn_10kwra","90",9,-0.02528154569723,0.00012908483020379,-0.0255345519644294,-0.0250285394300306
"ch_dist","obgyn_10kwra","100",9,-0.0262113388712034,0.0001663754435877,-0.0265374347406352,-0.0258852430017715
"ch_peri","ci_scorent","10",9,0.118453300518871,0.00107703432092016,0.116342313249867,0.120564287787874
"ch_peri","ci_scorent","25",9,0.118453300518871,0.00107703432092016,0.116342313249867,0.120564287787874
"ch_peri","ci_scorent","50",9,0.130663142369725,0.00126867693476872,0.128176535577579,0.133149749161872
"ch_peri","ci_scorent","75",9,0.132369348332506,0.000894055087174739,0.130617000361644,0.134121696303369
"ch_peri","ci_scorent","90",9,0.139246713511427,0.00111066641342199,0.13706980734112,0.141423619681734
"ch_peri","ci_scorent","100",9,0.157802950882396,0.0019548451779002,0.153971454333711,0.16163444743108
"ch_peri","obgyn_10kwra","10",9,0.169597996630887,0.00122057603621201,0.167205667599911,0.171990325661863
"ch_peri","obgyn_10kwra","25",9,0.165447202934763,0.00101182085681085,0.163464034055414,0.167430371814112
"ch_peri","obgyn_10kwra","50",9,0.144151500368439,0.000833457605519459,0.142517923461621,0.145785077275258
"ch_peri","obgyn_10kwra","75",9,0.12681300087631,0.000820780604252461,0.125204270891975,0.128421730860645
"ch_peri","obgyn_10kwra","90",9,0.0789518992532046,0.0014972837884222,0.0760172230278971,0.0818865754785121
"ch_peri","obgyn_10kwra","100",9,0.0686956302985545,0.00239446730341724,0.0640024743838567,0.0733887862132523
"ch_teach","ci_scorent","10",9,0.0992063869079128,0.000871544425934739,0.0974981598330807,0.100914613982745
"ch_teach","ci_scorent","25",9,0.0992063869079128,0.000871544425934739,0.0974981598330807,0.100914613982745
"ch_teach","ci_scorent","50",9,0.109181849726547,0.00102677942596009,0.107169362051665,0.111194337401429
"ch_teach","ci_scorent","75",9,0.100217650479685,0.000688989184366896,0.0988672316783263,0.101568069281044
"ch_teach","ci_scorent","90",9,0.100460620024696,0.000806316482545106,0.0988802397189078,0.102041000330485
"ch_teach","ci_scorent","100",9,0.0975973102227919,0.0014685558047033,0.0947189408455735,0.10047567960001
"ch_teach","obgyn_10kwra","10",9,0.0723064439762637,0.00104496242506973,0.0702583176231271,0.0743545703294004
"ch_teach","obgyn_10kwra","25",9,0.0842699360891468,0.00084862283734825,0.0826066353279443,0.0859332368503494
"ch_teach","obgyn_10kwra","50",9,0.0907923816680182,0.000702101975117154,0.0894162617967886,0.0921685015392478
"ch_teach","obgyn_10kwra","75",9,0.106110419702998,0.000791232833023139,0.104559603350272,0.107661236055723
"ch_teach","obgyn_10kwra","90",9,0.11506880026493,0.000991406124811393,0.113125644260299,0.11701195626956
"ch_teach","obgyn_10kwra","100",9,0.14751749551051,0.00180640490390039,0.143976941898865,0.151058049122155
"ch_csection","ci_scorent","10",9,0.0262191371613529,0.000350135710807186,0.0255328711681708,0.026905403154535
"ch_csection","ci_scorent","25",9,0.0262191371613529,0.000350135710807186,0.0255328711681708,0.026905403154535
"ch_csection","ci_scorent","50",9,0.0334033187431298,0.00046338281687517,0.0324950884220545,0.0343115490642051
"ch_csection","ci_scorent","75",9,0.0243280082478572,0.000274755415838458,0.0237894876328138,0.0248665288629006
"ch_csection","ci_scorent","90",9,0.0217896755851139,0.000323247608286043,0.0211561102728733,0.0224232408973546
"ch_csection","ci_scorent","100",9,0.0152116868556462,0.000633834075947628,0.0139693720667889,0.0164540016445036
"ch_csection","obgyn_10kwra","10",9,0.00824846123948177,0.000344535159306719,0.0075731723272406,0.00892375015172294
"ch_csection","obgyn_10kwra","25",9,0.0123565302158191,0.000279795083439819,0.0118081318522771,0.0129049285793612
"ch_csection","obgyn_10kwra","50",9,0.0182913080785067,0.000241531310951952,0.0178179067090409,0.0187647094479726
"ch_csection","obgyn_10kwra","75",9,0.0279445628314659,0.000311401819705345,0.0273342152648435,0.0285549103980884
"ch_csection","obgyn_10kwra","90",9,0.0410263842873329,0.000606647492972659,0.0398373552011065,0.0422154133735593
"ch_csection","obgyn_10kwra","100",9,0.0509819897266886,0.000863684207638453,0.0492891686797172,0.05267481077366
