"outcome","patient_char","bin","mean","sd","diff_sd","l_95","u_95"
"ch_dist","nhblack",0,-0.0189085312724251,0.000191692323836081,0.000268323202816093,-0.0192842482271438,-0.0185328143177064
"ch_dist","nhblack",1,-0.0204293648358134,0.000218966433269785,0.000268323202816093,-0.0208585390450222,-0.0200001906266047
"ch_dist","mcaid_unins",0,-0.0192435628027663,0.000192767630858599,0.000232616023349759,-0.0196213873592491,-0.0188657382462834
"ch_dist","mcaid_unins",1,-0.0195651990400881,0.000167088869303191,0.000232616023349759,-0.0198926932239224,-0.0192377048562539
"ch_dist","hispanic",0,-0.0196890679694862,0.0001478388424834,0.000481549548515776,-0.0199788321007537,-0.0193993038382188
"ch_dist","hispanic",1,-0.0174041987664029,0.000449148107468287,0.000481549548515776,-0.0182845290570408,-0.0165238684757651
"ch_peri","nhblack",0,0.177007579797373,0.00225093025284033,0.00378150807918642,0.172595756501806,0.181419403092941
"ch_peri","nhblack",1,0.104468473689223,0.00335186617174551,0.00378150807918642,0.0978988159926022,0.111038131385845
"ch_peri","mcaid_unins",0,0.149643954454617,0.00225178701625124,0.002654841819775,0.145230451902764,0.154057457006469
"ch_peri","mcaid_unins",1,0.148224831210554,0.00208119923944603,0.002654841819775,0.14414568070124,0.152303981719868
"ch_peri","hispanic",0,0.146674605622953,0.00179248482731871,0.00501723187580481,0.143161335361409,0.150187875884498
"ch_peri","hispanic",1,0.165539469141705,0.0051719115292331,0.00501723187580481,0.155402522544409,0.175676415739002
"ch_teach","nhblack",0,0.057985137257703,0.00306663893284361,0.00402810562612603,0.0519745249493296,0.0639957495660765
"ch_teach","nhblack",1,0.0459867929102038,0.00309474156830631,0.00402810562612603,0.0399210994363234,0.0520524863840841
"ch_teach","mcaid_unins",0,0.0548319440195992,0.00334141061579201,0.00363358588338408,0.0482827792126468,0.0613811088265515
"ch_teach","mcaid_unins",1,0.0594117072498017,0.00206264698966918,0.00363358588338408,0.0553689191500501,0.0634544953495533
"ch_teach","hispanic",0,0.0558974127650272,0.00210079177595621,0.00583502361295717,0.051779860884153,0.0600149646459013
"ch_teach","hispanic",1,0.0686077414115039,0.00593146048455019,0.00583502361295717,0.0569820788617855,0.0802334039612223
"ch_csection","nhblack",0,-0.0163000879288512,0.000502603887727676,0.0010170412692487,-0.0172851915487974,-0.0153149843089049
"ch_csection","nhblack",1,-0.0132288275115661,0.00092195541166929,0.0010170412692487,-0.0150358601184379,-0.0114217949046943
"ch_csection","mcaid_unins",0,-0.013762237547216,0.000560625114039847,0.000729905935671519,-0.0148610627707341,-0.0126634123236979
"ch_csection","mcaid_unins",1,-0.0126088027712911,0.000535829421109755,0.000729905935671519,-0.0136590284366662,-0.011558577105916
"ch_csection","hispanic",0,-0.0145698008545179,0.00045452129709711,0.00134757546201932,-0.0154606625968283,-0.0136789391122076
"ch_csection","hispanic",1,-0.00211219259102245,0.00129709093150723,0.00134757546201932,-0.00465449081677663,0.000430105634731728
