"mkt","n_deliveries","n_facilities","n_patients","mean_dist","city"
2,45903,10,36656,4.50135263457321,"Macon"
3,20194,4,16243,1.74317283463337,"Valdosta"
4,20318,4,16806,1.65148324381253,"Columbus"
5,70733,12,57978,6.50677622523839,"Savannah"
6,5188,3,4159,6.78218354619515,"Douglas"
7,22491,6,17872,2.84699889540305,"Albany"
8,44188,7,35756,3.93176650915082,"Athens"
9,420619,31,342049,5.18386552894975,"Sandy Springs"
10,23740,3,19296,1.18770565473775,"Rome"
11,33919,4,27253,2.18567731972624,"Augusta"
12,3577,1,3026,0,"LaGrange"
